OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0002_06_UNOTERET_PKA_EGENBOG_DETAILS;GENNEMLYSNING;PRESENTATION;Tabel der udstiller de gennemlysningsinfo  (Company Name, Land, Industri) på PKA egne investeringer;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_PKA_EGENBOG_RISK_ASSESSMENT;GENNEMLYSNING;PRESENTATION;Tabel der udstilles Risk Assesment for PKA egne investeringer;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_SAMLET_GENNEMLYSNING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_DETAILS;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_GEARING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_MODPART_RATING_MAPPING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_MODPART_RISIKO;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_MODPART_RISIKO_RAW;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_AIP_MODPART_SEC_MAPPING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_07_INFRASTRUKTUR_SAMLET_GENNEMLYSNING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_08_EJENDOM_DEAS;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_08_EJENDOM_DEAS_EJERANDELE;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
VIEW;MO;dbo;L0002_08_EJENDOM_DEAS_EJERANDELE_V;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_08_EJENDOM_NEWSEC;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_08_EJENDOM_NEWSEC_EJERANDELE;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
VIEW;MO;dbo;L0002_08_EJENDOM_NEWSEC_EJERANDELE_V;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_08_EJENDOM_PATRIZIA_COUNTRIES;GENNEMLYSNING;WORK;Gennemlysningsdata fra Patrizia gemmes i denne tabel. Kilde Excel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_08_EJENDOM_PATRIZIA_MEASURES;GENNEMLYSNING;WORK;Gennemlysningsdata fra Patrizia gemmes i denne tabel. Kilde Excel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_08_EJENDOM_PATRIZIA_SECTORS;GENNEMLYSNING;WORK;Gennemlysningsdata fra Patrizia gemmes i denne tabel. Kilde Excel;SUSANNE;DVR;CLAUS;1;
